Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.9,0.87,0.86,0.87
Minería,0.71,0.77,0.7,0.6
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1.17,1.02,0.8,0.83
Construcción,3.5,2.64,2.49,2.54
Industrias manufactureras,23.17,23.51,23.93,25.71
Comercio al por mayor,5.5,5.96,5.83,6.45
Comercio al por menor,24.99,23.65,21.74,24.46
"Transportes, correos y almacenamiento",3.57,3.58,3.67,4.55
Información en medios masivos,1.46,1.33,1.34,1.1
Servicios financieros y de seguros,2.39,2.22,2.44,2.32
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.17,1.17,1.21,1.19
"Servicios profesionales, científicos y técnicos",2.84,2.81,3.13,2.43
Dirección y administración de grupos empresariales o corporativos,0.13,0.2,0.51,0.45
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",6.79,7.95,8.87,2.85
Servicios educativos,3.14,3.52,3.01,2.78
Servicios de salud y de asistencia social,2.9,2.85,2.82,3.12
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.98,1.07,0.99,0.96
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8.67,9.01,9.84,10.79
Otros servicios excepto actividades gubernamentales,6.03,5.86,5.82,6.01
Total,100.0,100.0,100.0,100.0
