Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",143.27499999999998,240.636,282.828,422.684
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,502.821,397.654,284.447,627.7080000000001
Industrias manufactureras,6142.868,11792.393,14860.763,14466.462
Comercio al por mayor,1091.496,1120.183,3418.154,3791.706
Comercio al por menor,2669.169,3414.731,4365.76,7600.917
"Transportes, correos y almacenamiento",1299.984,1426.815,2285.149,3356.722
Información en medios masivos,200.073,63.503,106.245,177.907
Servicios financieros y de seguros,31.565,27.002,57.493,74.531
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,251.576,339.56300000000005,491.599,506.886
"Servicios profesionales, científicos y técnicos",128.86,102.343,116.605,232.514
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",126.462,1938.97,246.302,309.75100000000003
Servicios educativos,170.165,880.654,391.565,434.017
Servicios de salud y de asistencia social,318.908,315.787,442.982,552.836
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",107.556,67.86999999999999,52.357,289.831
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,709.312,498.186,958.541,1656.946
Otros servicios excepto actividades gubernamentales,704.9300000000001,631.648,659.571,1043.272
Total,14599.02,23257.938,29020.361000000004,35544.69
