Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",196.31,239.63,29.91,10.44
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,133.3,67.18,,22.24
Industrias manufactureras,60.68,62.17,52.14,51.08
Comercio al por mayor,1067.19,544.95,685.76,598.75
Comercio al por menor,490.5,234.7,203.39,222.09
"Transportes, correos y almacenamiento",257.11,137.25,82.61,51.27
Información en medios masivos,43.07,57.29,191.41,333.41
Servicios financieros y de seguros,13498.47,3692.53,1473.43,947.59
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,52.12,45.53,89.63,176.25
"Servicios profesionales, científicos y técnicos",141.61,41.8,199.74,189.72
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",295.4,209.12,634.23,150.38
Servicios educativos,256.75,164.67,1159.26,172.02
Servicios de salud y de asistencia social,321.14,180.18,149.4,111.58
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1090.26,225.37,417.49,273.3
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,748.83,358.9,275.25,285.96
Otros servicios excepto actividades gubernamentales,425.74,350.2,289.61,191.61
Total,100.0,100.0,100.0,100.0
